gender,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,Discussion,StudentAbsenceDays,Class,GradeCategory
0,0,1,0,0,0,0,15,16,20,0,0,0
0,0,1,0,0,0,0,20,20,25,0,0,0
0,0,1,0,0,0,0,10,7,30,1,1,0
0,0,1,0,0,0,0,30,25,35,1,1,0
0,0,1,0,0,0,0,40,50,50,1,0,0
1,0,1,0,0,0,0,42,30,70,1,0,0
0,1,4,0,1,0,0,35,12,17,1,1,1
0,1,4,0,1,0,0,50,10,22,0,0,1
1,1,4,0,1,0,0,12,21,50,0,0,1
1,1,4,1,0,0,0,70,80,70,0,0,1
0,1,4,0,1,0,0,50,88,80,0,2,1
0,1,4,1,1,0,0,19,6,12,0,0,1
0,0,1,0,0,0,0,5,1,11,1,1,0
0,1,5,0,1,0,0,20,14,19,1,1,1
1,1,5,0,1,0,1,62,70,60,1,2,1
1,1,3,0,0,0,0,30,40,66,0,0,0
0,1,4,1,0,0,0,36,30,80,1,0,1
0,1,4,0,1,0,0,55,13,90,1,0,1
1,1,4,0,0,0,1,69,15,96,0,0,1
0,1,4,1,0,0,1,70,50,99,0,2,1
1,1,4,0,0,0,0,60,60,90,1,0,1
1,1,4,1,0,0,0,10,12,80,0,0,1
0,1,4,0,0,0,0,15,21,90,0,0,1
0,1,4,0,0,0,0,2,0,50,1,1,1
0,1,4,1,0,0,0,0,2,70,1,1,1
0,1,4,0,0,0,0,8,7,40,1,1,1
0,1,4,1,0,0,0,19,19,40,0,0,1
0,1,5,0,2,0,0,25,15,33,1,1,1
0,1,5,0,3,0,0,75,85,43,0,0,1
1,1,5,0,2,0,0,30,90,35,0,0,1
1,1,5,0,2,0,0,35,80,70,0,2,1
0,1,4,0,0,0,0,4,5,16,1,1,1
1,0,4,0,0,0,0,2,19,50,1,1,1
0,0,2,0,4,0,0,8,22,40,1,1,0
0,1,4,1,3,0,0,12,11,40,1,1,1
0,1,4,0,4,0,0,10,12,30,1,1,1
